					 85						146						 92						 71
					127						158						124						 99
					147						192						204						132
					240						206						133						160
					205						260						188						110
					301						242						165						 96
					317						265						215						 61
					260						213						161						100
					211						165						 86						164
					141						129						 59						136
					 83						 85						 57						 82
					 90						 91						 79						 38
					102						116						 97						 84
					134						165						137						111
					154						243						133						147
					161						291						 96						194
					270						221						112						156
					329						179						107						 90
					332						170						179						 84
					231						210						185						134
					175						141						 95						155
					113						130						 54						134
					 97						 86						 57						 69
					 94						101						 62						 43
					 95						125						120						 72
					142						127						165						 97
					156						176						132						144
					190						241						167						132
					220						230						116						 99
					311						237						101						 71
					346						208						131						 78
					263						213						158						 90
					194						184						110						141
					 82						123						 73						116
					 76						111						 46						 49
					 63						 98						 73						 39
					 79						 94						 97						 58
					141						164						183						 96
					159						227						102						107
					321						229						173						172
